plot_quad,resident20_g,vedu20_g,vedu19_g
ARAR01_C.1,5.49,6.98,5.08
ARAR01_C.2,5.06,4.75,1.79
ARAR01_C.3,1.82,0.49,1.8
ARAR01_C.4,4.25,1.19,0.99
ARAR01_C.5,3.82,1.65,0.87
ARAR01_C.6,4,2.87,3.2
ARAR01_C.7,0.97,3.14,1.9
ARAR01_CC1,3.1,0.29,0.16
ARAR01_CC2,2.62,3.8,1.8
ARAR01_CC3,1.93,1.96,2.22
ARAR01_N.1,0.65,2.6,3.04
ARAR01_N.2,0.12,1.12,0.08
ARAR01_N.3,0.05,4.6,2.94
ARAR01_N.4,0.03,3.62,2.4
ARAR01_N.5,0.37,1.01,1.09
ARAR01_N.6,0.03,3.21,2.2
ARAR01_N.7,0.05,0.95,0.37
ARAR01_NN1,0.33,0.12,0.01
ARAR01_NN2,0.15,2.91,2.84
ARAR01_NN3,0.21,0.56,0.41
ARAR02_C.1,1.14,2.62,2.29
ARAR02_C.2,1.26,4.04,3.12
ARAR02_C.3,3.55,3.74,2.89
ARAR02_C.4,11.88,3.87,2.97
ARAR02_C.5,2.06,4.04,0.13
ARAR02_C.6,2.82,4.82,1.81
ARAR02_C.7,3.83,3.95,3.17
ARAR02_CC1,7.83,2.41,1.46
ARAR02_CC2,3.58,1.06,1.33
ARAR02_CC3,12.29,1.27,0.68
ARAR02_N.1,0.12,4.58,3.37
ARAR02_N.2,0.04,4.24,2.69
ARAR02_N.3,0.78,4.07,1.43
ARAR02_N.4,0.03,2.98,1.23
ARAR02_N.5,0.1,4.41,4.51
ARAR02_N.6,0.2,5.09,2.94
ARAR02_N.7,0.005,4.15,2.17
ARAR02_NN1,0.2,0.93,1.33
ARAR02_NN2,0.11,1.52,1.02
ARAR02_NN3,0.01,5.6,1.84
ARAR03_C.1,1.33,1.11,0.65
ARAR03_C.2,3.465,0.51,0.25
ARAR03_C.3,10.66,0.4,0.01
ARAR03_C.4,2.6,0.52,0.45
ARAR03_C.5,6.14,0.63,0.38
ARAR03_C.6,2.44,2.1,2.39
ARAR03_C.7,1.77,2.12,2.81
ARAR03_CC1,7.55,0.37,1.93
ARAR03_CC2,0.69,0.44,5.06
ARAR03_CC3,2.58,0.58,1.78
ARAR03_N.1,NA,0.01,1.62
ARAR03_N.2,2.56,0.72,0
ARAR03_N.3,0.55,0.82,1.57
ARAR03_N.4,0.1,0.6,3.07
ARAR03_N.5,0.78,0.89,3.03
ARAR03_N.6,0.16,0.57,0.7
ARAR03_N.7,0.07,1.24,3.07
ARAR03_NN1,0.32,0,0
ARAR03_NN2,0.11,0.29,4.96
ARAR03_NN3,0.4,0.35,2.2
ARAR04_C.1,7,5.01,2.1
ARAR04_C.2,10.92,3.5,1.25
ARAR04_C.3,4.37,2.35,0.95
ARAR04_C.4,6.49,13.85,1.35
ARAR04_C.5,4.03,4.8,1.52
ARAR04_C.6,23.83,3.23,0.99
ARAR04_C.7,6.76,3.13,0.57
ARAR04_CC1,4.53,5.31,3.22
ARAR04_CC2,5.12,2.85,0.74
ARAR04_CC3,5.2,3.75,2.4
ARAR04_N.1,0.55,2.24,0.72
ARAR04_N.2,1.23,5.49,1.4
ARAR04_N.3,0.1,5.62,3.13
ARAR04_N.4,0.82,9.38,0.53
ARAR04_N.5,0.38,8.9,3.39
ARAR04_N.6,1.69,2.68,0.69
ARAR04_N.7,0.58,5.69,1.68
ARAR04_NN1,0.38,3.45,1.92
ARAR04_NN2,0.16,4.55,2.83
ARAR04_NN3,0.76,0.95,0.27
ARAR05_C.1,8.42,0.55,1
ARAR05_C.2,12.5,2.01,0.59
ARAR05_C.3,5.8,3.23,1.57
ARAR05_C.4,3,2.27,0.46
ARAR05_C.5,3.2,4.89,2.11
ARAR05_C.6,3.08,1.84,0.6
ARAR05_C.7,5.85,1.59,0.49
ARAR05_CC1,13.06,0,0
ARAR05_CC2,6.94,1.47,0.4
ARAR05_CC3,3.37,3.01,1.03
ARAR05_N.1,1,1.43,0.93
ARAR05_N.2,0.55,2.13,0.07
ARAR05_N.3,1.06,2.45,0.52
ARAR05_N.4,1.41,2.81,0.34
ARAR05_N.5,0.22,2.49,0.1
ARAR05_N.6,0.48,3.12,0.74
ARAR05_N.7,0.89,3.05,1.11
ARAR05_NN1,0.81,0.08,0.01
ARAR05_NN2,0.24,3.13,0.52
ARAR05_NN3,1.66,2.4,0.41
ARRI01_C.1,0.97,4.32,2.47
ARRI01_C.2,0.91,2.69,0.7
ARRI01_C.3,1.92,1.54,0.01
ARRI01_C.4,0.25,3.22,0.09
ARRI01_C.5,1.65,2.52,0.7
ARRI01_C.6,0.17,1.11,0
ARRI01_C.7,1.01,2.67,0.52
ARRI01_CC1,3.85,0.08,0
ARRI01_CC2,1.12,0.94,0.01
ARRI01_CC3,2.92,0.22,0
ARRI01_N.1,0,1.93,0.01
ARRI01_N.2,0.05,3.94,0.93
ARRI01_N.3,0,1.7,0
ARRI01_N.4,0.06,2.73,1
ARRI01_N.5,0.02,4.53,1.09
ARRI01_N.6,0.02,2.29,0.27
ARRI01_N.7,0.03,3.69,1.16
ARRI01_NN1,0.01,2.15,1.43
ARRI01_NN2,0.02,1.26,0.56
ARRI01_NN3,0.17,0,0
ARRI02_C.1,0.85,5.3,2.36
ARRI02_C.2,2.32,3.64,0.92
ARRI02_C.3,1.27,5.32,2.5
ARRI02_C.4,2.2,2.22,0.48
ARRI02_C.5,1.68,4.11,1.11
ARRI02_C.6,4.73,3.86,1.58
ARRI02_C.7,5.32,1.43,2.25
ARRI02_CC1,4.68,4.12,1.1
ARRI02_CC2,1.13,0.57,0.71
ARRI02_CC3,2.67,8.83,6.88
ARRI02_N.1,0.1,0.81,1.88
ARRI02_N.2,0.27,6.26,2.54
ARRI02_N.3,0.11,6.69,1.55
ARRI02_N.4,0.26,2.71,0.99
ARRI02_N.5,0.22,7.19,3.71
ARRI02_N.6,0.02,8.38,3.06
ARRI02_N.7,0.23,3.99,2.11
ARRI02_NN1,0.17,2.71,1.61
ARRI02_NN2,1.11,7.09,2.69
ARRI02_NN3,0.05,5.27,1.01
ARRI03_C.1,1.97,1.9,1.03
ARRI03_C.2,4.28,1.24,0.01
ARRI03_C.3,2.29,1.28,0.42
ARRI03_C.4,4.78,1.72,1.01
ARRI03_C.5,4.43,0.77,0.12
ARRI03_C.6,2.82,0.78,0.18
ARRI03_C.7,1.2,1.66,1.08
ARRI03_CC1,5.1,0.74,0.01
ARRI03_CC2,1.7,1.06,1.84
ARRI03_CC3,4.82,0.005,0
ARRI03_N.1,1.15,1.12,0.13
ARRI03_N.2,0.11,1.29,0.67
ARRI03_N.3,0.41,2.31,0.93
ARRI03_N.4,0.005,1.6,1.53
ARRI03_N.5,0.18,0.69,0.01
ARRI03_N.6,0.35,1.4,0.01
ARRI03_N.7,0.4,1.21,0.23
ARRI03_NN1,0.43,0.13,0.01
ARRI03_NN2,0.2,0,0
ARRI03_NN3,0.26,1.31,1
ARRI04_C.1,1.76,6.05,2.11
ARRI04_C.2,1.89,1.38,0.22
ARRI04_C.3,0.91,3.23,1.19
ARRI04_C.4,1.16,4.11,0.83
ARRI04_C.5,3.77,3.21,1.29
ARRI04_C.6,2.12,2.12,0.43
ARRI04_C.7,1.62,2.41,0.48
ARRI04_CC1,1.76,0.33,0.01
ARRI04_CC2,1.82,1.88,0.01
ARRI04_CC3,1.23,0.93,0.27
ARRI04_N.1,0.07,0.6,0
ARRI04_N.2,0,4.38,1.3
ARRI04_N.3,0.06,5.44,0.67
ARRI04_N.4,0.06,3.73,1.45
ARRI04_N.5,0.04,0.91,0.31
ARRI04_N.6,0.1,1.06,0.01
ARRI04_N.7,0,3.03,1.08
ARRI04_NN1,0.03,2.02,0.01
ARRI04_NN2,0,0.49,0.26
ARRI04_NN3,0,9.87,1.55
ARRI05_C.1,13.57,2.36,0.64
ARRI05_C.2,4.92,5.52,0.69
ARRI05_C.3,1.21,6.67,0.91
ARRI05_C.4,2.08,5.03,2
ARRI05_C.5,2.72,3.99,0.5
ARRI05_C.6,0.72,2.81,0.01
ARRI05_C.7,20.16,3.04,0.22
ARRI05_CC1,3.25,2.89,1.08
ARRI05_CC2,2.04,3.41,1.06
ARRI05_CC3,1.02,3.45,0.66
ARRI05_N.1,0.44,4.31,1.81
ARRI05_N.2,0.25,3.76,1.09
ARRI05_N.3,0.02,3.85,3.22
ARRI05_N.4,0.06,4.51,1.4
ARRI05_N.5,0.19,1.74,0.19
ARRI05_N.6,0.12,5.67,0.63
ARRI05_N.7,0.29,1.97,0.01
ARRI05_NN1,0.52,3.97,1.16
ARRI05_NN2,0.15,1.32,0.72
ARRI05_NN3,0.4,1.22,0.3
SEEP01_C.1,11.34,2.07,1.68
SEEP01_C.2,9.27,1.59,1.47
SEEP01_C.3,2.5,6.51,1.63
SEEP01_C.4,6.53,4.29,0.98
SEEP01_C.5,4.96,1.5,0.67
SEEP01_C.6,4.54,5.63,2.8
SEEP01_C.7,5.89,3.73,2.27
SEEP01_CC1,14.42,4.77,2.3
SEEP01_CC2,8.64,1.99,2.55
SEEP01_CC3,3.21,1.59,2.57
SEEP01_N.1,0.21,0.6,0.15
SEEP01_N.2,0.11,1.92,1.83
SEEP01_N.3,0.33,2.36,0.57
SEEP01_N.4,0.75,4.71,1.45
SEEP01_N.5,0.22,4.94,3.43
SEEP01_N.6,0.33,4.31,2.2
SEEP01_N.7,0.6,4.84,1.47
SEEP01_NN1,0.11,2.43,3.54
SEEP01_NN2,0.27,3.65,1.74
SEEP01_NN3,0.52,2.5,2.19
SEEP02_C.1,9.76,13,0.85
SEEP02_C.2,9.03,4.39,0.58
SEEP02_C.3,4.71,11.82,1.42
SEEP02_C.4,6.63,4.25,3.94
SEEP02_C.5,15.75,3.93,0.81
SEEP02_C.6,11.97,7.54,1.74
SEEP02_C.7,3.33,6.23,2.03
SEEP02_CC1,12.19,5.41,3.4
SEEP02_CC2,11.29,6.57,0.93
SEEP02_CC3,13.58,5.41,0.58
SEEP02_N.1,1.13,4.15,2.8
SEEP02_N.2,0.99,7.75,0.9
SEEP02_N.3,0.65,6.85,1.34
SEEP02_N.4,0.78,10.18,0.65
SEEP02_N.5,1.06,9,2.5
SEEP02_N.6,0.57,6.99,1.77
SEEP02_N.7,0.56,0.63,1.16
SEEP02_NN1,0.81,9.57,4.16
SEEP02_NN2,0.64,14.48,1.03
SEEP02_NN3,0.74,3.33,3.17
SEEP03_C.1,7.02,1.84,1.4
SEEP03_C.2,6.51,2.32,2.42
SEEP03_C.3,15.94,1.52,0.59
SEEP03_C.4,5.68,2.73,0.66
SEEP03_C.5,3.45,2.89,2.06
SEEP03_C.6,8.35,4.11,2.62
SEEP03_C.7,6.75,4.06,1.92
SEEP03_CC1,8.28,0.95,1.08
SEEP03_CC2,19.54,0.82,0.89
SEEP03_CC3,7.17,0.19,0.97
SEEP03_N.1,4.64,1.79,1.35
SEEP03_N.2,2.89,3.33,0.7
SEEP03_N.3,4.04,2.11,0.99
SEEP03_N.4,2.78,3.28,0.16
SEEP03_N.5,2.69,0.74,2.78
SEEP03_N.6,1.7,1.94,0.97
SEEP03_N.7,3.08,3.19,0.86
SEEP03_NN1,4.86,0.9,1.12
SEEP03_NN2,3.54,0.15,0.79
SEEP03_NN3,3.91,2.08,1.39
SEEP04_C.1,12.16,4.6,0.65
SEEP04_C.2,3.02,8.88,1.14
SEEP04_C.3,34.97,4.09,0.82
SEEP04_C.4,17.14,4.33,0.47
SEEP04_C.5,10.98,2.11,0.08
SEEP04_C.6,18.22,2.5,0.33
SEEP04_C.7,10.4,2.63,0.73
SEEP04_CC1,9.81,9.18,1.66
SEEP04_CC2,13.3,2.56,0.86
SEEP04_CC3,12.62,1.65,0.27
SEEP04_N.1,0.39,7.21,3.05
SEEP04_N.2,0.53,8.45,1.95
SEEP04_N.3,0.3,10.88,1.74
SEEP04_N.4,0.15,3.55,0.8
SEEP04_N.5,0.88,2.88,0.15
SEEP04_N.6,0.15,3.48,0.7
SEEP04_N.7,0.69,7.53,0.31
SEEP04_NN1,0.28,5.86,0.93
SEEP04_NN2,0.23,3.26,0.9
SEEP04_NN3,0.47,5.73,1.54
SEEP05_C.1,13.35,0.16,0.03
SEEP05_C.2,12.55,0.39,0
SEEP05_C.3,9.82,0.97,0
SEEP05_C.4,15.17,0.85,0
SEEP05_C.5,9.03,1.87,0.12
SEEP05_C.6,10.63,6.4,2.23
SEEP05_C.7,8,2.85,0.28
SEEP05_CC1,21.18,0.28,0.04
SEEP05_CC2,14.1,0,0
SEEP05_CC3,14.56,2.13,0.08
SEEP05_N.1,7.81,1.37,0
SEEP05_N.2,6,0.73,0
SEEP05_N.3,9.07,0.49,0
SEEP05_N.4,5.87,0.85,0.08
SEEP05_N.5,6.82,1.34,0.2
SEEP05_N.6,4.01,1.5,0
SEEP05_N.7,8.42,0.77,0
SEEP05_NN1,7.95,0.14,0.07
SEEP05_NN2,6.26,0,0.04
SEEP05_NN3,6.57,0.005,0
